#Año,Tipo,Presupuesto,Concepto,Descripción,Crédito,Seccion
2016,I,P,47021,"CONVENIO HUERTO SOLAR ""SANTA CRUZ"" ACTIVIDAD MEDIO AMBIENTAL",15000.00,00
2016,I,P,47023,CONVENIO CESPA A.A. ACTIVIDAD MEDIOAMBIENTAL,4000.00,00
2016,I,P,47031,CONVENIO PIANNER HI-BRED AGROSERVICIOS SPAIN SL ACTIV.AMBIENTALES,2000.00,00
2016,I,P,48010,CONVENIO CON ENTIDADES FINANCIERAS,55000.00,00
2016,I,P,48011,APOTACIONES CABALGATAS RM,1350.00,00
2016,I,P,48012,CONVENIO FUNDACION  CAJASOL ACTIVIDADES DEPORTIVAS,750.00,00
2016,I,P,52000,INTERESES DE DEPOSITOS,26000.00,00
2016,I,P,54100,PRODUCTO DE ARRENDAMIENTO DE FINCAS URBANAS,9000.00,00
2016,I,P,54106,ALQUILER ESPACIOS ESCENICOS,3000.00,00
2016,I,P,55000,CONCESIONES ADMINISTRATIVAS,70000.00,00
2016,I,P,61900,ENAJENACION CONTENEDORES,30000.00,00
2016,I,P,72001,PLAN DE INVERSIONES DE LA DIPUTACION,56000.00,00
2016,I,P,72115,DEL S.P.E.E. MANO DE OBRA P.F.O.E.A.(GARANTIA DE RENTA),388541.00,00
2016,I,P,72116,DEL S.P.E.E. MANO DE OBRA P.F.O.E.A.(ESTABLE),157500.00,00
2016,I,P,75020,DE C.M.A. IMPLANTANCION CONCLUSIONES PLAN ACCION MEDIOAMBIENTAL,80000.00,00
2016,I,P,75589,"DE LA CONSEJERICA DE FOMENTO Y VIVIENDA, REHABILITACION VIVIENDAS",150000.00,00
2016,I,P,76115,DE DIPUTACION MATERIALES PFOEA (GARANTIA DE RENTAS),155416.80,00
2016,I,P,76116,DE DIPUTACION MATERIALES PFOEA (ESTABLE),70875.00,00
2016,I,P,76117,"DE DIPUTACION, SUBVENCION MATERIALES P.F.O.E.A. RENTAS (2015/2016)",155416.00,00
2016,I,P,76118,DE DIPUTACION SUBVENCION MATERIALES AEPSA ESTABLE,63000.00,00
2016,I,P,76130,DE DIPUTACION PLAN SUPERA,785000.00,00
2016,I,P,76131,DE DIPUTACION EQUIPAMIENTO PARQUE BOMBERO,30000.00,00
2016,I,P,76132,DE DIPUTACION PLAN MAQUINARIA Y VEHS. INDUSTRIALES,50000.00,00
2016,I,P,76133,"DE DIPUTACION REHABILITACION HOGAR ""20 DE JULIO""",105098.30,00
2016,I,P,76134,DE DIPUTACION REORDENACION PLAZA DE ESPAÑA (SUPERA,100500.00,00
2016,I,P,76135,DE DIPUTACION PAVIMENTACION VIAS PUBLICAS (SUPERA IV),286169.94,00
2016,I,P,76136,DE DIPUTACION ADECUACION ESPACIOS LIBRES VIA PUBLICA (SUPERA IV),92606.67,00
2016,I,P,76137,DE DIPUTACION CONSERVACION PAVIMENTOS PISTAS (SUPERA IV),77916.65,00
2016,I,P,76143,DE DIPUTACION SUBVENCION PLAN SUPERA III,274918.16,00
2016,I,P,76144,DE LA DIPUTACION DE SEVILLA(PLAN SUPERA IV REINVERSION S LICITACION),183620.57,00
2016,I,P,76605,"DE ASOCIACION GRAN VEGA, PLAN LIDER A",150000.00,00
2016,I,P,83000,REINTEGROS ANTICIPOS A CORTO PLAZO,15000.00,00
2016,I,P,83100,REINTEGROS ANTICIPOS A L/PLAZO,66010.12,00
2016,I,P,87000,PARA GASTOS GENERALES,1549716.41,00
2016,I,P,87010,PARA GASTOS CON FINANCIACION AFECTADA,749271.24,00
# Órganos anexos Año,Tipo,Presupuesto,Concepto,Descripción,Crédito,Seccion
2016,I,P,399,OTROS INGRESOS DIVERSOS,13510.81,00
2016,I,P,399,OTROS INGRESOS DIVERSOS,504.00,00
2016,I,P,399,OTROS INGRESOS DIVERSOS,8570.28,00
2016,I,P,450,DE LA ADMON.GRAL DE LAS COMNIDADES AUTONOMAS,805500.00,00
2016,I,P,450,DE LA ADMON.GRAL DE LAS COMNIDADES AUTONOMAS,3500.00,00
2016,I,P,450,DE LA ADMON.GRAL DE LAS COMNIDADES AUTONOMAS,12917.84,00
2016,I,P,548,ARRENDAMIENTOS DE FINCAS URBANAS,41025.00,00
2016,I,P,541,ARRENDAMIENTOS DE FINCAS URBANAS,590316.81,00
2016,I,P,600,DE CONCESIONES ADMINISTRATIVAS CON CONTRAPRESTACION PERIODICA,757245.70,00
2016,I,P,600,DE CONCESIONES ADMINISTRATIVAS CON CONTRAPRESTACION PERIODICA,1375000.00,00
2016,I,P,600,DE CONCESIONES ADMINISTRATIVAS CON CONTRAPRESTACION PERIODICA,35250.92,00
2016,I,P,610,DE CONCESIONES ADMINISTRATIVAS CON CONTRAPRESTACION PERIODICA,944672.96,00
2016,I,P,610,DE CONCESIONES ADMINISTRATIVAS CON CONTRAPRESTACION PERIODICA,1133425.48,00
2016,I,P,750,DE ORGANISMOS AUTONOMOS Y AGENCIAS ESTATALES,915299.57,00
2016,I,P,913,REINTEGROS DE PRESTAMOS DE FUERA DEL SECTOR PUBLICO A L/PLAZO,300000.00,00
2016,I,P,913,REINTEGROS DE PRESTAMOS DE FUERA DEL SECTOR PUBLICO A L/PLAZO,1725000.00,00
2016,I,P,341,SERVICIOS ASISTENCIALES,5000.00,00
2016,I,P,400,OTROS INGRESOS DIVERSOS,141157.98,00
2016,I,P,313,OTRAS TASAS POR PRESTACION DE SERVICIOS BASICOS,16000.00,00
2016,I,P,313,OTRAS TASAS POR PRESTACION DE SERVICIOS BASICOS,155000.00,00
2016,I,P,343,SERVICIOS EDUCATIVOS,24000.00,00
2016,I,P,343,SERVICIOS EDUCATIVOS,52000.00,00
2016,I,P,343,SERVICIOS EDUCATIVOS,40000.00,00
2016,I,P,343,SERVICIOS EDUCATIVOS,18000.00,00
2016,I,P,343,SERVICIOS EDUCATIVOS,25000.00,00
2016,I,P,343,SERVICIOS EDUCATIVOS,223000.00,00
2016,I,P,343,SERVICIOS EDUCATIVOS,36000.00,00
2016,I,P,343,SERVICIOS EDUCATIVOS,50000.00,00
2016,I,P,343,SERVICIOS EDUCATIVOS,4500.00,00
2016,I,P,343,SERVICIOS EDUCATIVOS,7000.00,00
2016,I,P,343,SERVICIOS EDUCATIVOS,500.00,00
2016,I,P,343,SERVICIOS EDUCATIVOS,4000.00,00
2016,I,P,343,SERVICIOS EDUCATIVOS,75000.00,00
2016,I,P,343,SERVICIOS EDUCATIVOS,6000.00,00
2016,I,P,399,OTROS INGRESOS DIVERSOS,4500.00,00
2016,I,P,400,OTROS INGRESOS DIVERSOS,1489169.49,00
2016,I,P,400,OTROS INGRESOS DIVERSOS,40000.00,00
2016,I,P,0,0,3000.00,00
2016,I,P,461,"DE DIPUTACIONES, CONSEJOS O CABILDOS",10000.00,00
2016,I,P,470,DE EMPRESA PRIVADAS,6000.00,00
2016,I,P,470,DE EMPRESA PRIVADAS,6000.00,00
2016,I,P,520,INTERESES DE DEPOSITOS,500.00,00
2016,I,P,530,CONCESIONES,1500.00,00
2016,I,P,530,CONCESIONES,0.00,00
2016,I,P,530,CONCESIONES,0.00,00
2016,I,P,700,DE OTRAS INVERSIONES REALES,21000.00,00
2016,I,P,750,DE ORGANISMOS AUTONOMOS Y AGENCIAS ESTATALES,15000.00,00
2016,I,P,300,VENTA DE PRODUCTO,1000.00,00
2016,I,P,399,OTROS INGRESOS DIVERSOS,120.00,00
2016,I,P,400,OTROS INGRESOS DIVERSOS,136428.92,00
2016,I,P,451,DE ORGANISMOS AUTONOMOS Y AGENCIAS DE LAS CC.AA.,174542.16,00
2016,I,P,451,DE ORGANISMOS AUTONOMOS Y AGENCIAS DE LAS CC.AA.,92155.17,00
2016,I,P,451,DE ORGANISMOS AUTONOMOS Y AGENCIAS DE LAS CC.AA.,458737.92,00
2016,I,P,451,DE ORGANISMOS AUTONOMOS Y AGENCIAS DE LAS CC.AA.,336295.98,00
2016,I,P,470,DE EMPRESA PRIVADAS,72000.00,00
2016,I,P,480,DE FAMILIAS,34483.44,00
2016,I,P,481,DE FAMILIAS,214030.08,00
2016,I,P,482,DE FAMILIAS,19569.11,00
2016,I,P,483,DE FAMILIAS,96557.52,00
2016,I,P,484,DE FAMILIAS,3425.70,00
2016,I,P,520,INTERESES DE DEPOSITOS,9000.00,00
2016,I,P,700,DE LA CORPORACION,12396.50,00
